92|PAPUA BARAT
92.03.15.2009|Mananmur
92.03.15.2010|Warpa
92.03.16|Furwagi
92.03.16.2001|Salakiti
92.03.16.2002|Tawar
92.03.16.2003|Gar
92.03.16.2004|Rumbati
92.03.16.2005|Werfra
92.03.16.2006|Tanehamur
92.03.16.2007|Sengkiti
92.03.16.2008|Twootkindik
92.03.17|Tomage
92.03.17.2001|Mbima Jaya
92.03.17.2002|Warisa Mulya
92.03.17.2003|Wonodadi Mulya
92.03.17.2004|Tomage
92.03.17.2005|Otoweri
92.03.17.2006|Wamosan
92.03.17.2007|Salawier
92.03.17.2008|Wasa Mulya
92.03.17.2009|Wammar
92.04|KAB. SORONG SELATAN
92.04.01|Teminabuan
92.04.01.1005|Kaibus
92.04.01.1006|Kohoin
92.04.01.2004|Wersar
92.04.01.2009|Wehali
92.04.01.2010|Aibobor
92.04.01.2017|Wermit
92.04.01.2018|Keyen
92.04.01.2021|Siribau
92.04.01.2025|Magis
92.04.01.2026|Tegirolo
92.04.01.2034|Wernas
92.04.01.2035|Tapiri
92.04.01.2040|Gorolo
92.04.01.2041|Nambro
92.04.01.2044|Seyolo
92.04.01.2045|Ani Sesna
92.04.04|Inanwatan
92.04.04.2001|Mate
92.04.04.2004|Serkos
92.04.04.2006|Solta Baru
92.04.04.2008|Wadoi
92.04.04.2009|Isogo
92.04.04.2013|Sibae
92.04.04.2020|Mogibi
92.04.04.2026|Odeare
92.04.04.2027|Siri-siri
92.04.06|Sawiat
92.04.06.2001|Sawiat
92.04.06.2008|Sasnek
92.04.06.2009|Elles
92.04.06.2011|Sodrofoyo
92.04.06.2012|Sfakyo
92.04.06.2013|Wensough
92.04.06.2014|Ween
92.04.06.2015|Wendi
92.04.09|Kokoda
92.04.09.2001|Tarof
92.04.09.2002|Negeri Besar
92.04.09.2003|Siwatori
92.04.09.2004|Kasuweri
92.04.09.2005|Migori
92.04.09.2006|Tambani
92.04.09.2010|Daubak
92.04.09.2011|Totona
92.04.09.2012|Nayakore
92.04.09.2014|Arbasina
92.04.09.2015|Birawaku
92.04.09.2016|Korewatara
92.04.09.2017|Tapas
92.04.09.2018|Topdan
92.04.09.2020|Migrito
92.04.09.2021|Daimar
92.04.10|Moswaren
92.04.10.2001|Moswaren
92.04.10.2002|Johsiro
92.04.10.2003|Hararo
92.04.10.2004|Bumi Ajo
