81|MALUKU
81.05.08.2005|Kumelang
81.05.08.2006|Undur
81.05.08.2007|Kamar
81.05.08.2008|Gunak
81.05.08.2009|Sumbawa
81.05.08.2010|Kilmury
81.05.08.2011|Kilbon Kway
81.05.08.2012|Mising
81.05.08.2013|Bitorik
81.05.08.2014|Taa
81.05.09|Pulau Panjang
81.05.09.2001|Pulau Panjang
81.05.09.2002|Argam
81.05.09.2003|Lalasa
81.05.09.2004|Magat
81.05.09.2005|Ruku Ruku
81.05.09.2006|Perik Basaranggi
81.05.10|Teor
81.05.10.2001|Teor
81.05.10.2002|Kartutin Kartenga
81.05.10.2003|Ker Ker
81.05.10.2004|Duryar Rumoy
81.05.10.2005|Lapang Kampung Jawa
81.05.10.2006|Kampung Tengah Wermaf
81.05.10.2007|Kampung Baru
81.05.10.2008|Mamur
81.05.10.2009|Kiliwouw
81.05.10.2010|Karlokin
81.05.11|Gorom Timur
81.05.11.2001|Kilkoda
81.05.11.2002|Miran
81.05.11.2003|Kota Sirih
81.05.11.2004|Amarwatu
81.05.11.2005|Aran
81.05.11.2006|Tuha
81.05.11.2007|Bas
81.05.11.2008|Tunas Ilur
81.05.11.2009|Sagey
81.05.11.2010|Armada
81.05.11.2011|Waisalan
81.05.11.2012|Basarin
81.05.11.2013|Goha
81.05.11.2014|Rarat
81.05.11.2015|Miran Gota
81.05.11.2016|Adar
81.05.11.2017|Tinarin
81.05.11.2018|Etaralu
81.05.11.2019|Kiltufa
81.05.11.2020|Miran Kilian
81.05.11.2021|Miran Keledar
81.05.11.2022|Miran Manaban
81.05.11.2023|Miran Rumuar
81.05.12|Bula Barat
81.05.12.2001|Hote
81.05.12.2002|Banggoi
81.05.12.2003|Waematakabo
81.05.12.2004|Waiketam Baru
81.05.12.2005|Waisamet
81.05.12.2006|Aki Jaya
81.05.12.2007|Jakarta Baru
81.05.12.2008|Silohan
81.05.12.2009|Sumber Agung
81.05.12.2010|Rukun Jaya
81.05.12.2011|Jembatan Basah
81.05.12.2012|Dreamland Hills
81.05.12.2013|Banggoi Pancorang
81.05.13|Kian Darat
81.05.13.2001|Kian Darat
81.05.13.2002|Artafela
81.05.13.2003|Angar
81.05.13.2004|Watu Watu
81.05.13.2005|Kelaba
81.05.13.2006|Kilga Kilwouw
