62|KALIMANTAN TENGAH
62.04.04.2009|Tarusan
62.04.04.2010|Panarukan
62.04.04.2011|Maruga
62.04.04.2012|Hingan
62.04.04.2013|Danau Bambure
62.04.04.2014|Tamparak
62.04.04.2015|Hulu Tampang
62.04.04.2016|Bantai Bambure
62.04.04.2017|Rampa Mea
62.04.04.2018|Gunung Rantau
62.04.04.2019|Tamparak Layung
62.04.05|Gn. Bintang Awai
62.04.05.2001|Baruang
62.04.05.2002|Kayumban
62.04.05.2003|Tabak Kanilan
62.04.05.2004|Sarimbuah
62.04.05.2005|Gagutur
62.04.05.2006|Muka Haji
62.04.05.2007|Sire
62.04.05.2008|Muara Singan
62.04.05.2009|Patas I
62.04.05.2010|Patas II
62.04.05.2011|Bintang Ara
62.04.05.2012|Ugang Sayu
62.04.05.2013|Ngurit
62.04.05.2014|Wungkur Baru
62.04.05.2015|Bipak Kali
62.04.05.2016|Malungai Raya
62.04.05.2017|Sei Paken
62.04.05.2018|Palo Rejo
62.04.05.2019|Wayun
62.04.05.2020|Marga Jaya
62.04.05.2021|Ruhing Raya
62.04.06|Dusun Selatan
62.04.06.1006|Jelapat
62.04.06.1007|Hilir Seper
62.04.06.1008|Buntok Kota
62.04.06.2001|Danau Ganting
62.04.06.2002|Muara Talang
62.04.06.2003|Teluk Telaga
62.04.06.2004|Baru
62.04.06.2005|Danau Sadar
62.04.06.2009|Pamait
62.04.06.2010|Sababilah
62.04.06.2011|Mangaris
62.04.06.2012|Tetei Lanan
62.04.06.2013|Pamangka
62.04.06.2014|Sanggu
62.04.06.2015|Lembeng
62.04.06.2016|Muara Ripung
62.04.06.2017|Madara
62.04.06.2018|Murung Paken
62.04.06.2019|Mabuan
62.04.06.2020|Kalahien
62.04.06.2021|Penda Asam
62.04.06.2022|Pararapak
62.04.06.2023|Teluk Mampun
62.04.06.2024|Tanjung Jawa
62.04.06.2025|Telang Andrau
62.04.06.2026|Dangka
62.04.06.2027|Danau Masura
62.05|KAB. BARITO UTARA
62.05.01|Montallat
62.05.01.1001|Montallat I
62.05.01.1002|Montallat II
62.05.01.1003|Tumpung Laung I
62.05.01.1004|Tumpung Laung II
62.05.01.2005|Sikan
62.05.01.2006|Rubei
62.05.01.2007|Pepas
62.05.01.2008|Ruji
62.05.01.2009|Paring Lahung
62.05.01.2010|Kamawen
62.05.02|Gunung Timang
62.05.02.2001|Malungai
62.05.02.2002|Rarawa
62.05.02.2003|Ketapang
62.05.02.2004|Walur
62.05.02.2005|Baliti
62.05.02.2006|Majangkan
62.05.02.2007|Kandui
62.05.02.2008|Payang Ara
62.05.02.2009|Jaman
62.05.02.2010|Pelari
62.05.02.2011|Sangkorang
62.05.02.2012|Siwau
62.05.02.2013|Tongka
62.05.02.2014|Batu Raya I
62.05.02.2015|Batu Raya II
62.05.02.2016|Tapen Raya
62.05.03|Gunung Purei
62.05.03.2001|Tanjung Harapan
62.05.03.2002|Linon Besi I
62.05.03.2003|Linon Besi II
62.05.03.2004|Muara Mea
62.05.03.2005|Lawarang
62.05.03.2006|Lampeong I
62.05.03.2007|Lampeong II
62.05.03.2008|Payang
62.05.03.2009|Berong
62.05.03.2010|Baok
62.05.03.2011|Tambaba
62.05.04|Teweh Timur
62.05.04.2001|Sampirang I
62.05.04.2002|Sampirang II
62.05.04.2003|Liju
62.05.04.2004|Benangin III
62.05.04.2005|Benangin II
62.05.04.2006|Benangin V
62.05.04.2007|Benangin I
62.05.04.2008|Muara Wakat
62.05.04.2012|Mampuak I
62.05.04.2013|Jamut
62.05.04.2014|Sei Liju
62.05.04.2015|Mampuak II
62.05.05|Teweh Tengah
62.05.05.1013|Lanjas
62.05.05.1014|Melayu
62.05.05.2010|Lemo I
62.05.05.2011|Lemo II
62.05.05.2012|Pendreh
62.05.05.2017|Rimba Sari
62.05.05.2018|Sei Rahayu I
62.05.05.2022|Sei Rahayu II
62.05.05.2024|Beringin Raya
62.05.05.2025|Datai Nirui
62.05.06|Lahei
62.05.06.1015|Lahei I
62.05.06.1016|Lahei II
62.05.06.2001|Ipu
62.05.06.2002|Mukut
62.05.06.2014|Muara Bakah
62.05.06.2017|Juju Baru
62.05.06.2018|Muara Inu
62.05.06.2019|Bengahon
62.05.06.2020|Rahaden
62.05.06.2021|Muara Pari
62.05.06.2022|Haragandang
62.05.06.2023|Karendan
62.05.06.2024|Hurung Enep
62.05.07|Teweh Baru
62.05.07.1001|Jingah
62.05.07.1002|Jambu
62.05.07.2003|Liang Naga
62.05.07.2004|Sabuh
62.05.07.2005|Hajak
62.05.07.2006|Malawaken
62.05.07.2007|Sikui
62.05.07.2008|Panaen
62.05.07.2009|Liang Buah
62.05.07.2010|Gandring
62.05.08|Teweh Selatan
62.05.08.2001|Trahean
62.05.08.2002|Trinsing
62.05.08.2003|Bintang Ninggi I
62.05.08.2004|Bintang Ninggi II
62.05.08.2005|Butong
62.05.08.2006|Buntok Baru
62.05.08.2007|Bukit Sawit
62.05.08.2008|Tawan Jaya
62.05.08.2009|Pandran Raya
62.05.08.2010|Pandran Permai
62.05.09|Lahei Barat
62.05.09.2001|Nihan Hilir
62.05.09.2002|Nihan Hulu
62.05.09.2003|Luwe Hilir
62.05.09.2004|Luwe Hulu
62.05.09.2005|Jangkang Baru
62.05.09.2006|Jangkang Lama
62.05.09.2007|Papar Pujung
62.05.09.2008|Teluk Malewai
62.05.09.2009|Benao Hilir
62.05.09.2010|Benao Hulu
62.05.09.2011|Karamuan
62.06|KAB. KATINGAN
62.06.01|Kamipang
62.06.01.2001|Galinggang
62.06.01.2002|Tampelas
62.06.01.2003|Telaga
62.06.01.2004|Parupuk
62.06.01.2005|Karuing
62.06.01.2006|Jahanjang
62.06.01.2007|Tumbang Runen
62.06.01.2008|Baun Bango
62.06.01.2009|Asem Kumbang
62.06.02|Katingan Hilir
62.06.02.1003|Kasongan Baru
62.06.02.1004|Kasongan Lama
62.06.02.2001|Tewang Kadamba
62.06.02.2002|Tumbang Liting
62.06.02.2005|Talian Kereng
62.06.02.2006|Banut Kalanaman
